pmcid,figure_name,width,height
PMC4689065,abd-90-06-0780-g04.jpg,771,578
PMC4689065,abd-90-06-0780-g08.jpg,771,286
PMC4689065,abd-90-06-0780-g07.jpg,771,287
PMC4689065,abd-90-06-0780-g10.jpg,771,579
PMC4689065,abd-90-06-0780-g03.jpg,771,577
PMC4689065,abd-90-06-0780-g11.jpg,771,533
PMC4689065,abd-90-06-0780-g12.jpg,600,799
PMC4689065,abd-90-06-0780-g02.jpg,771,288
PMC4689065,abd-90-06-0780-g06.jpg,771,290
PMC4689065,abd-90-06-0780-g09.jpg,771,288
PMC4689065,abd-90-06-0780-g01.jpg,771,580
PMC4689065,abd-90-06-0780-g05.jpg,600,450
