pmcid,figure_name,width,height
PMC1584249,1746-1596-1-30-1.jpg,600,450
PMC1780055,1471-2377-7-2-4.jpg,463,969
PMC1780055,1471-2377-7-2-3.jpg,600,606
PMC1780055,1471-2377-7-2-2.jpg,353,489
PMC1780055,1471-2377-7-2-1.jpg,519,505
PMC1780055,1471-2377-7-2-5.jpg,600,492
PMC3891405,kjim-20-100-g006.jpg,753,776
PMC3891405,kjim-20-100-g003.jpg,753,332
PMC3891405,kjim-20-100-g004.jpg,753,397
PMC3891405,kjim-20-100-g002.jpg,717,708
PMC3891405,kjim-20-100-g005.jpg,721,781
PMC3891405,kjim-20-100-g001.jpg,727,737
PMC1560134,1477-7819-4-55-5.jpg,600,450
PMC1560134,1477-7819-4-55-7.jpg,600,450
PMC1560134,1477-7819-4-55-3.jpg,600,450
PMC1560134,1477-7819-4-55-2.jpg,600,450
PMC1560134,1477-7819-4-55-4.jpg,600,450
PMC1560134,1477-7819-4-55-1.jpg,600,450
PMC1560134,1477-7819-4-55-6.jpg,600,450
PMC4531729,kjim-16-3-201-9f1.jpg,482,608
PMC2246134,1477-7819-5-142-1.jpg,600,426
PMC2246134,1477-7819-5-142-2.jpg,600,426
PMC1557797,SRCM2006-85234.001.jpg,418,215
PMC1557797,SRCM2006-85234.005.jpg,528,523
PMC1557797,SRCM2006-85234.002.jpg,406,411
PMC1557797,SRCM2006-85234.004.jpg,489,721
PMC1557797,SRCM2006-85234.007.jpg,734,1718
PMC1557797,SRCM2006-85234.006.jpg,421,655
PMC1557797,SRCM2006-85234.003.jpg,420,322
PMC2740005,1757-1626-0002-0000007612-001.jpg,502,678
PMC2740005,1757-1626-0002-0000007612-003.jpg,502,754
PMC2740005,1757-1626-0002-0000007612-002.jpg,502,371
PMC2740005,1757-1626-0002-0000007612-004.jpg,502,197
PMC2905584,crn0002-0069-f01.jpg,432,288
PMC2905584,crn0002-0069-f02.jpg,432,288
PMC2905584,crn0002-0069-f03.jpg,400,267
PMC2994463,rt-2009-2-e26-g001.jpg,434,503
PMC2994463,rt-2009-2-e26-g002.jpg,435,160
PMC2809821,nihms147983f2.jpg,831,1050
PMC2809821,nihms147983f5.jpg,833,1050
PMC2809821,nihms147983f4.jpg,814,1050
PMC2809821,nihms147983f3.jpg,1050,977
PMC2809821,nihms147983f1.jpg,828,1050
PMC2881068,1746-1596-5-2-1.jpg,600,599
PMC2881068,1746-1596-5-2-3.jpg,600,529
PMC2881068,1746-1596-5-2-2.jpg,600,923
PMC2881068,1746-1596-5-2-4.jpg,600,883
PMC2994481,rt-2009-2-e27-g004.jpg,658,990
PMC2994481,rt-2009-2-e27-g001.jpg,435,104
PMC2994481,rt-2009-2-e27-g002.jpg,658,1035
PMC2994481,rt-2009-2-e27-g003.jpg,652,439
PMC3070674,1477-7819-9-33-1.jpg,600,315
PMC3070674,1477-7819-9-33-3.jpg,600,410
PMC3070674,1477-7819-9-33-2.jpg,600,459
PMC3070674,1477-7819-9-33-4.jpg,600,317
PMC3056624,IJRI-20-274-g011.jpg,571,301
PMC3056624,IJRI-20-274-g008.jpg,570,240
PMC3056624,IJRI-20-274-g005.jpg,620,310
PMC3056624,IJRI-20-274-g009.jpg,570,291
PMC3056624,IJRI-20-274-g004.jpg,620,295
PMC3056624,IJRI-20-274-g012.jpg,745,610
PMC3056624,IJRI-20-274-g006.jpg,620,289
PMC3056624,IJRI-20-274-g007.jpg,620,310
PMC3056624,IJRI-20-274-g002.jpg,633,595
PMC3056624,IJRI-20-274-g001.jpg,670,569
PMC3056624,IJRI-20-274-g003.jpg,770,238
PMC3056624,IJRI-20-274-g010.jpg,571,285
PMC3086164,SNI-2-31-g003.jpg,661,572
PMC3086164,SNI-2-31-g009.jpg,622,520
PMC3086164,SNI-2-31-g007.jpg,441,390
PMC3086164,SNI-2-31-g008.jpg,742,519
PMC3086164,SNI-2-31-g001.jpg,770,531
PMC3086164,SNI-2-31-g004.jpg,579,607
PMC3086164,SNI-2-31-g005.jpg,779,548
PMC3086164,SNI-2-31-g002.jpg,612,571
PMC3086164,SNI-2-31-g006.jpg,481,390
PMC3086164,SNI-2-31-g011.jpg,526,633
PMC3086164,SNI-2-31-g010.jpg,498,572
PMC3229054,ad-23-S155-g001.jpg,476,348
PMC3229054,ad-23-S155-g004.jpg,640,1440
PMC3229054,ad-23-S155-g003.jpg,476,373
PMC3229054,ad-23-S155-g002.jpg,478,359
PMC3269400,1752-1947-5-577-3.jpg,600,230
PMC3269400,1752-1947-5-577-2.jpg,600,703
PMC3269400,1752-1947-5-577-4.jpg,600,460
PMC3269400,1752-1947-5-577-1.jpg,600,375
PMC3299187,jocmr-01-233-g001.jpg,472,470
PMC3299187,jocmr-01-233-g003.jpg,468,548
PMC3299187,jocmr-01-233-g002.jpg,468,194
PMC3125655,JOMFP-15-46-g002.jpg,452,604
PMC3125655,JOMFP-15-46-g006.jpg,577,604
PMC3125655,JOMFP-15-46-g013.jpg,743,537
PMC3125655,JOMFP-15-46-g001.jpg,452,604
PMC3125655,JOMFP-15-46-g010.jpg,743,537
PMC3125655,JOMFP-15-46-g009.jpg,743,537
PMC3125655,JOMFP-15-46-g012.jpg,743,538
PMC3125655,JOMFP-15-46-g005.jpg,557,402
PMC3125655,JOMFP-15-46-g004.jpg,557,403
PMC3125655,JOMFP-15-46-g011.jpg,743,538
PMC3125655,JOMFP-15-46-g003.jpg,447,605
PMC3125655,JOMFP-15-46-g008.jpg,743,537
PMC3125655,JOMFP-15-46-g007.jpg,558,303
PMC3438054,1746-1596-7-43-1.jpg,600,452
PMC3438054,1746-1596-7-43-2.jpg,600,451
PMC3390600,jcav03p0303g05.jpg,704,603
PMC3390600,jcav03p0303g02.jpg,707,542
PMC3390600,jcav03p0303g03.jpg,672,544
PMC3390600,jcav03p0303g04.jpg,705,470
PMC3390600,jcav03p0303g01.jpg,690,521
PMC3350304,CRIM.ONCMED2011-705345.008.jpg,600,440
PMC3350304,CRIM.ONCMED2011-705345.004.jpg,600,1960
PMC3350304,CRIM.ONCMED2011-705345.002.jpg,600,1647
PMC3350304,CRIM.ONCMED2011-705345.007.jpg,600,939
PMC3350304,CRIM.ONCMED2011-705345.003.jpg,600,1945
PMC3350304,CRIM.ONCMED2011-705345.006.jpg,600,939
PMC3350304,CRIM.ONCMED2011-705345.005.jpg,600,939
PMC3350304,CRIM.ONCMED2011-705345.001.jpg,600,825
PMC6000070,zgfazz-15-7-446-2.jpg,817,617
PMC6000070,zgfazz-15-7-446-4.jpg,785,290
PMC6000070,zgfazz-15-7-446-3.jpg,785,300
PMC6000070,zgfazz-15-7-446-1.jpg,813,657
PMC3461777,JSTCR-4-39-g001.jpg,617,566
PMC3461777,JSTCR-4-39-g003.jpg,618,568
PMC3461777,JSTCR-4-39-g002.jpg,542,682
PMC3461777,JSTCR-4-39-g005.jpg,674,258
PMC3461777,JSTCR-4-39-g006.jpg,619,447
PMC3461777,JSTCR-4-39-g004.jpg,741,519
PMC3467372,jkns-52-138-g003.jpg,743,262
PMC3467372,jkns-52-138-g002.jpg,710,688
PMC3467372,jkns-52-138-g001.jpg,710,689
PMC3467372,jkns-52-138-i001.jpg,1200,782
PMC3467372,jkns-52-138-g004.jpg,743,577
PMC3399549,CRIM2012-648191.001.jpg,600,1263
PMC3399549,CRIM2012-648191.002.jpg,600,3955
PMC3399549,CRIM2012-648191.003.jpg,600,3695
PMC3548581,nos28703.jpg,750,486
PMC3548581,nos28701.jpg,800,856
PMC3548581,nos28702.jpg,763,817
PMC3548581,nos28704.jpg,781,795
PMC3577581,1751-0147-55-7-3.jpg,600,451
PMC3577581,1751-0147-55-7-1.jpg,600,450
PMC3577581,1751-0147-55-7-5.jpg,600,451
PMC3577581,1751-0147-55-7-4.jpg,600,451
PMC3577581,1751-0147-55-7-2.jpg,600,452
PMC3502806,CRIM.OTOLARYNGOLOGY2012-936735.001.jpg,600,589
PMC3502806,CRIM.OTOLARYNGOLOGY2012-936735.002.jpg,600,472
PMC3502806,CRIM.OTOLARYNGOLOGY2012-936735.003.jpg,600,735
PMC3502806,CRIM.OTOLARYNGOLOGY2012-936735.004.jpg,600,506
PMC3551491,SNI-3-157-g003.jpg,635,473
PMC3551491,SNI-3-157-g002.jpg,740,230
PMC3551491,SNI-3-157-g001.jpg,697,400
PMC3629343,kjpain-26-160-g002.jpg,735,365
PMC3629343,kjpain-26-160-g003.jpg,608,375
PMC3629343,kjpain-26-160-g001.jpg,782,250
PMC3578816,pone.0057152.g004.jpg,686,487
PMC3578816,pone.0057152.g002.jpg,688,499
PMC3578816,pone.0057152.g003.jpg,687,506
PMC3578816,pone.0057152.g001.jpg,686,451
PMC3650571,ott-6-459f1.jpg,749,671
PMC3638275,jkns-53-190-g004.jpg,786,186
PMC3638275,jkns-53-190-g002.jpg,724,1387
PMC3638275,jkns-53-190-g003.jpg,765,384
PMC3638275,jkns-53-190-g001.jpg,766,371
PMC3660127,clep-5-147Fig2.jpg,714,407
PMC3660127,clep-5-147Fig3.jpg,775,400
PMC3660127,clep-5-147Fig1.jpg,698,382
PMC3660127,clep-5-147Fig4.jpg,623,334
PMC3665878,aps-40-272-g002.jpg,363,847
PMC3665878,aps-40-272-g003.jpg,761,533
PMC3665878,aps-40-272-g001.jpg,764,533
PMC3665878,aps-40-272-g004.jpg,796,264
PMC3665883,aps-40-285-g003.jpg,665,848
PMC3665883,aps-40-285-g004.jpg,762,633
PMC3665883,aps-40-285-g002.jpg,706,800
PMC3665883,aps-40-285-g001.jpg,759,754
PMC3665883,aps-40-285-g005.jpg,636,423
PMC3687169,JOMFP-17-129-g001.jpg,537,537
PMC3687169,JOMFP-17-129-g002.jpg,738,554
PMC3687169,JOMFP-17-129-g004.jpg,738,506
PMC3687169,JOMFP-17-129-g003.jpg,737,550
PMC3771463,CRIM.ONCMED2013-423867.002.jpg,600,1551
PMC3771463,CRIM.ONCMED2013-423867.001.jpg,600,902
PMC3771463,CRIM.ONCMED2013-423867.003.jpg,600,476
PMC3876725,1477-7819-11-269-2.jpg,600,776
PMC3876725,1477-7819-11-269-1.jpg,600,543
PMC3808069,JNRP-4-83-g003.jpg,725,591
PMC3808069,JNRP-4-83-g004.jpg,543,304
PMC3808069,JNRP-4-83-g001.jpg,742,548
PMC3808069,JNRP-4-83-g002.jpg,543,239
PMC3808069,JNRP-4-83-g006.jpg,1157,522
PMC3808069,JNRP-4-83-g005.jpg,747,591
PMC3822417,IJNM-28-168-g004.jpg,742,314
PMC3822417,IJNM-28-168-g003.jpg,742,442
PMC3822417,IJNM-28-168-g002.jpg,281,538
PMC3822417,IJNM-28-168-g001.jpg,742,510
PMC3830914,num-05-843-g004.jpg,600,452
PMC3830914,num-05-843-g002.jpg,600,436
PMC3830914,num-05-843-g003.jpg,600,452
PMC3830914,num-05-843-g001.jpg,600,517
PMC3878771,1756-8722-6-93-5.jpg,600,558
PMC3878771,1756-8722-6-93-4.jpg,600,950
PMC3878771,1756-8722-6-93-2.jpg,600,688
PMC3878771,1756-8722-6-93-1.jpg,600,966
PMC3878771,1756-8722-6-93-3.jpg,600,917
PMC3872381,CRIM.ONCMED2013-627472.004.jpg,600,356
PMC3872381,CRIM.ONCMED2013-627472.001.jpg,600,357
PMC3872381,CRIM.ONCMED2013-627472.003.jpg,600,454
PMC3872381,CRIM.ONCMED2013-627472.002.jpg,600,395
PMC3892540,SAJC-2-141b-g001.jpg,767,139
PMC3892540,SAJC-2-141b-g002.jpg,767,158
PMC3901590,cde-0005-0373-g03.jpg,761,571
PMC3901590,cde-0005-0373-g01.jpg,716,954
PMC3901590,cde-0005-0373-g05.jpg,761,571
PMC3901590,cde-0005-0373-g04.jpg,761,570
PMC3901590,cde-0005-0373-g02.jpg,716,956
PMC4127377,nihms550277f6.jpg,767,1050
PMC4127377,nihms550277f2.jpg,1050,889
PMC4127377,nihms550277f7.jpg,1050,523
PMC4127377,nihms550277f9.jpg,1050,411
PMC4127377,nihms550277f5.jpg,1050,818
PMC4127377,nihms550277f8.jpg,1050,712
PMC4127377,nihms550277f4.jpg,749,1050
PMC4127377,nihms550277f1.jpg,812,1050
PMC4127377,nihms550277f3.jpg,1050,902
PMC3916395,pone.0088035.g005.jpg,747,564
PMC3916395,pone.0088035.t003.jpg,745,343
PMC3916395,pone.0088035.g001.jpg,747,565
PMC3916395,pone.0088035.t002.jpg,745,797
PMC3916395,pone.0088035.g002.jpg,574,415
PMC3916395,pone.0088035.g003.jpg,682,524
PMC3916395,pone.0088035.g004.jpg,716,328
PMC3916395,pone.0088035.g006.jpg,747,583
PMC3916395,pone.0088035.t001.jpg,745,594
PMC3919912,OL-07-03-0807-g01.jpg,708,334
PMC3919912,OL-07-03-0807-g00.jpg,688,1801
PMC4001430,10.1177_2047981613516033-fig2.jpg,653,465
PMC4001430,10.1177_2047981613516033-fig1.jpg,729,1053
PMC3197311,jove-49-2558-thumb.jpg,104,78
PMC3197311,jove-49-2558-0.jpg,500,368
PMC4049692,OL-07-06-1965-g00.jpg,724,1006
PMC4049692,OL-07-06-1965-g02.jpg,724,1082
PMC4049692,OL-07-06-1965-g04.jpg,602,413
PMC4049692,OL-07-06-1965-g05.jpg,602,372
PMC4049692,OL-07-06-1965-g01.jpg,671,394
PMC4049692,OL-07-06-1965-g03.jpg,724,1137
PMC4019476,pone.0096733.g006.jpg,739,1104
PMC4019476,pone.0096733.g005.jpg,668,926
PMC4019476,pone.0096733.g002.jpg,682,918
PMC4019476,pone.0096733.g004.jpg,756,1055
PMC4019476,pone.0096733.g001.jpg,711,929
PMC4019476,pone.0096733.g003.jpg,684,929
PMC4065427,JOMFP-18-114-g004.jpg,557,311
PMC4065427,JOMFP-18-114-g002.jpg,638,537
PMC4065427,JOMFP-18-114-g001.jpg,538,403
PMC4065427,JOMFP-18-114-g003.jpg,539,403
PMC4058178,CRIPE2014-951252.002.jpg,600,1252
PMC4058178,CRIPE2014-951252.001.jpg,600,422
PMC4110120,10-1055-s-0033-1358797-i130029-2.jpg,800,366
PMC4110120,10-1055-s-0033-1358797-i130029-1.jpg,800,469
PMC4110120,10-1055-s-0033-1358797-i130029-3.jpg,800,604
PMC3695033,nihms474979f6.jpg,762,624
PMC3695033,nihms474979f3.jpg,540,993
PMC3695033,nihms474979f2.jpg,756,988
PMC3695033,nihms474979f1.jpg,629,719
PMC3695033,nihms474979f4.jpg,762,742
PMC3695033,nihms474979f5.jpg,649,725
PMC3695033,nihms474979f7.jpg,729,912
PMC4416132,nou14002.jpg,666,1204
PMC4416132,nou14001.jpg,666,661
PMC4134609,SAJC-3-171-g002.jpg,717,539
PMC4134609,SAJC-3-171-g004.jpg,1126,299
PMC4134609,SAJC-3-171-g003.jpg,1128,161
PMC4134609,SAJC-3-171-g001.jpg,1127,177
PMC4345714,2186-3326-76-0225-g002.jpg,688,676
PMC4345714,2186-3326-76-0225-g004.jpg,664,664
PMC4345714,2186-3326-76-0225-g006.jpg,610,412
PMC4345714,2186-3326-76-0225-g005.jpg,650,244
PMC4345714,2186-3326-76-0225-g003.jpg,650,173
PMC4345714,2186-3326-76-0225-g001.jpg,738,1146
PMC4345714,2186-3326-76-0225-g007.jpg,729,504
PMC4166340,jkns-55-387-g001.jpg,765,854
PMC4163693,cde-0006-0185-g01.jpg,789,542
PMC4163693,cde-0006-0185-g02.jpg,779,1773
PMC4119377,DRJ-11-405-g002.jpg,743,520
PMC4119377,DRJ-11-405-g003.jpg,601,485
PMC4119377,DRJ-11-405-g005.jpg,745,497
PMC4119377,DRJ-11-405-g009.jpg,743,495
PMC4119377,DRJ-11-405-g010.jpg,743,495
PMC4119377,DRJ-11-405-g008.jpg,742,531
PMC4119377,DRJ-11-405-g001.jpg,743,521
PMC4119377,DRJ-11-405-g006.jpg,742,496
PMC4119377,DRJ-11-405-g007.jpg,617,496
PMC4119377,DRJ-11-405-g004.jpg,744,522
PMC4119377,DRJ-11-405-g011.jpg,999,792
PMC4198956,kjped-57-410-g002.jpg,778,595
PMC4198956,kjped-57-410-i002.jpg,1200,1096
PMC4198956,kjped-57-410-i003.jpg,1200,632
PMC4198956,kjped-57-410-g001.jpg,743,578
PMC4198956,kjped-57-410-i001.jpg,1200,2271
PMC4245674,gr2.jpg,393,296
PMC4245674,gr3.jpg,393,296
PMC4245674,gr1.jpg,393,296
PMC4189945,CRIPA2014-674094.002.jpg,600,590
PMC4189945,CRIPA2014-674094.001.jpg,600,486
PMC4189945,CRIPA2014-674094.005.jpg,600,1324
PMC4189945,CRIPA2014-674094.004.jpg,600,1766
PMC4189945,CRIPA2014-674094.003.jpg,600,460
PMC4237782,12885_2013_5006_Fig3_HTML.jpg,600,500
PMC4237782,12885_2013_5006_Fig2_HTML.jpg,600,472
PMC4237782,12885_2013_5006_Fig1_HTML.jpg,600,417
PMC4233912,fonc-04-00324-g001.jpg,661,460
PMC4233912,fonc-04-00324-g002.jpg,708,440
PMC4248547,IJD-59-635e-g001.jpg,670,184
PMC4248547,IJD-59-635e-g002.jpg,539,203
PMC4110937,tox-27-131-g005.jpg,704,695
PMC4110937,tox-27-131-g006.jpg,704,350
PMC4110937,tox-27-131-t001.jpg,1200,451
PMC4110937,tox-27-131-g001.jpg,704,262
PMC4110937,tox-27-131-g003.jpg,704,262
PMC4110937,tox-27-131-g002.jpg,704,803
PMC4110937,tox-27-131-t002.jpg,1200,759
PMC4110937,tox-27-131-g004.jpg,704,803
PMC4274440,rt-2014-4-5528-g001.jpg,500,295
PMC4274440,rt-2014-4-5528-g002.jpg,500,274
PMC4274440,rt-2014-4-5528-g003.jpg,422,500
PMC4256418,pone.0114333.g003.jpg,695,719
PMC4256418,pone.0114333.g005.jpg,661,249
PMC4256418,pone.0114333.g004.jpg,752,587
PMC4256418,pone.0114333.g002.jpg,752,911
PMC4256418,pone.0114333.g006.jpg,761,561
PMC4256418,pone.0114333.g001.jpg,739,543
PMC4317207,ccr30003-0029-f2.jpg,629,473
PMC4317207,ccr30003-0029-f1.jpg,597,1064
PMC4317213,ccr30003-0050-f1.jpg,578,263
PMC4317213,ccr30003-0050-f2.jpg,579,446
PMC4317213,ccr30003-0050-f4.jpg,578,235
PMC4317213,ccr30003-0050-f3.jpg,578,211
PMC4438639,12885_2015_1160_Fig1_HTML.jpg,778,501
PMC4357080,IJDENT-6-53-g002.jpg,742,527
PMC4357080,IJDENT-6-53-g003.jpg,742,501
PMC4357080,IJDENT-6-53-g001.jpg,742,492
PMC4357080,IJDENT-6-53-g004.jpg,741,329
PMC4367119,jptm-49-2-93f1.jpg,744,496
PMC4469603,40064_2015_1087_Fig4_HTML.jpg,359,554
PMC4469603,40064_2015_1087_Fig1_HTML.jpg,359,327
PMC4469603,40064_2015_1087_Fig2_HTML.jpg,567,396
PMC4469603,40064_2015_1087_Fig3_HTML.jpg,359,426
PMC4469603,40064_2015_1087_Fig6_HTML.jpg,359,268
PMC4469603,40064_2015_1087_Fig5_HTML.jpg,359,541
PMC4357176,12943_2015_325_Fig2_HTML.jpg,567,741
PMC4357176,12943_2015_325_Fig3_HTML.jpg,473,763
PMC4357176,12943_2015_325_Fig4_HTML.jpg,472,342
PMC4357176,12943_2015_325_Fig6_HTML.jpg,770,828
PMC4357176,12943_2015_325_Fig5_HTML.jpg,567,671
PMC4357176,12943_2015_325_Fig1_HTML.jpg,779,679
PMC4422082,fimmu-06-00201-g002.jpg,735,871
PMC4422082,fimmu-06-00201-g005.jpg,734,611
PMC4422082,fimmu-06-00201-g008.jpg,708,548
PMC4422082,fimmu-06-00201-g007.jpg,708,533
PMC4422082,fimmu-06-00201-g004.jpg,708,1104
PMC4422082,fimmu-06-00201-g006.jpg,776,385
PMC4422082,fimmu-06-00201-g003.jpg,708,473
PMC4422082,fimmu-06-00201-g001.jpg,708,690
PMC4518426,JNSBM-6-436-g002.jpg,795,522
PMC4518426,JNSBM-6-436-g001.jpg,760,570
PMC4518426,JNSBM-6-436-g005.jpg,384,568
PMC4518426,JNSBM-6-436-g004.jpg,395,569
PMC4518426,JNSBM-6-436-g003.jpg,758,569
PMC4552425,pone.0137153.g002.jpg,766,1045
PMC4552425,pone.0137153.g001.jpg,733,1044
PMC4283856,KITP-11-23086-g002.jpg,654,603
PMC4283856,KITP-11-23086-g001.jpg,654,574
PMC4465693,CRIONM2015-405351.005.jpg,750,932
PMC4465693,CRIONM2015-405351.003.jpg,750,465
PMC4465693,CRIONM2015-405351.004.jpg,748,442
PMC4465693,CRIONM2015-405351.001.jpg,750,459
PMC4465693,CRIONM2015-405351.002.jpg,750,932
PMC4552433,13000_2015_384_Fig2_HTML.jpg,472,715
PMC4552433,13000_2015_384_Fig5_HTML.jpg,567,211
PMC4552433,13000_2015_384_Fig3_HTML.jpg,567,211
PMC4552433,13000_2015_384_Fig4_HTML.jpg,567,570
PMC4552433,13000_2015_384_Fig1_HTML.jpg,567,566
PMC4805347,TJH-33-66-g3.jpg,450,436
PMC4805347,TJH-33-66-g4.jpg,450,600
PMC4805347,TJH-33-66-g2.jpg,450,307
PMC4805347,TJH-33-66-g1.jpg,750,313
PMC4560135,40792_2015_65_Fig4_HTML.jpg,358,293
PMC4560135,40792_2015_65_Fig2_HTML.jpg,358,239
PMC4560135,40792_2015_65_Fig5_HTML.jpg,472,391
PMC4560135,40792_2015_65_Fig3_HTML.jpg,358,546
PMC4560135,40792_2015_65_Fig1_HTML.jpg,358,266
PMC4629957,dddt-9-5785Fig4.jpg,620,444
PMC4629957,dddt-9-5785Fig3.jpg,606,441
PMC4629957,dddt-9-5785Fig2.jpg,606,439
PMC4629957,dddt-9-5785Fig1.jpg,793,717
PMC5123784,CAM4-4-1871-g003.jpg,709,389
PMC5123784,CAM4-4-1871-g002.jpg,709,474
PMC5123784,CAM4-4-1871-g001.jpg,709,728
PMC4546749,CRIOT2015-790941.003.jpg,748,622
PMC4546749,CRIOT2015-790941.004.jpg,749,314
PMC4546749,CRIOT2015-790941.001.jpg,750,663
PMC4546749,CRIOT2015-790941.002.jpg,753,725
PMC4630200,imcrj-8-267Fig1.jpg,627,1331
PMC4630200,imcrj-8-267Fig2.jpg,634,713
PMC4630200,imcrj-8-267Fig3.jpg,621,278
PMC4630200,imcrj-8-267Fig4.jpg,641,161
PMC4709680,SARCOMA2015-740571.002.jpg,731,890
PMC4709680,SARCOMA2015-740571.001.jpg,790,460
PMC5094959,oncotarget-07-35753-g001.jpg,665,413
PMC5094959,oncotarget-07-35753-g004.jpg,629,402
PMC5094959,oncotarget-07-35753-g002.jpg,603,606
PMC5094959,oncotarget-07-35753-g006.jpg,597,867
PMC5094959,oncotarget-07-35753-g005.jpg,668,431
PMC5094959,oncotarget-07-35753-g003.jpg,614,362
PMC4743268,SNI-7-64-g001.jpg,539,250
PMC4743268,SNI-7-64-g002.jpg,583,587
PMC4765242,SNI-7-108-g005.jpg,538,435
PMC4765242,SNI-7-108-g001.jpg,539,406
PMC4765242,SNI-7-108-g003.jpg,539,296
PMC4765242,SNI-7-108-g004.jpg,792,587
PMC4765242,SNI-7-108-g007.jpg,487,290
PMC4765242,SNI-7-108-g006.jpg,1010,2022
PMC4765242,SNI-7-108-g002.jpg,605,360
PMC4641931,CRIRA2015-241259.004.jpg,690,474
PMC4641931,CRIRA2015-241259.003.jpg,707,463
PMC4641931,CRIRA2015-241259.002.jpg,750,730
PMC4641931,CRIRA2015-241259.007.jpg,660,420
PMC4641931,CRIRA2015-241259.005.jpg,752,930
PMC4641931,CRIRA2015-241259.001.jpg,746,845
PMC4641931,CRIRA2015-241259.006.jpg,752,618
PMC5008358,oncotarget-07-22234-g001.jpg,781,874
PMC5008358,oncotarget-07-22234-g003.jpg,720,795
PMC5008358,oncotarget-07-22234-g002.jpg,724,503
PMC4802941,AJNS-11-170a-g001.jpg,539,400
PMC4802941,AJNS-11-170a-g005.jpg,462,586
PMC4802941,AJNS-11-170a-g004.jpg,721,587
PMC4802941,AJNS-11-170a-g002.jpg,539,212
PMC4802941,AJNS-11-170a-g003.jpg,539,235
PMC4884927,oncotarget-07-7403-g004.jpg,656,1263
PMC4884927,oncotarget-07-7403-g002.jpg,760,927
PMC4884927,oncotarget-07-7403-g001.jpg,729,503
PMC4884927,oncotarget-07-7403-g003.jpg,640,1255
PMC4802406,gr8.jpg,689,1106
PMC4802406,gr6.jpg,789,675
PMC4802406,gr2.jpg,711,817
PMC4802406,gr4.jpg,689,867
PMC4802406,gr3.jpg,758,1239
PMC4802406,gr5.jpg,790,1074
PMC4802406,gr1.jpg,790,848
PMC4802406,fx1.jpg,737,290
PMC4802406,gr7.jpg,762,611
PMC4828789,13000_2016_486_Fig1_HTML.jpg,567,426
PMC4828789,13000_2016_486_Fig2_HTML.jpg,567,426
PMC4828789,13000_2016_486_Fig3_HTML.jpg,567,426
PMC4845480,12891_2016_1050_Fig5_HTML.jpg,472,131
PMC4845480,12891_2016_1050_Fig2_HTML.jpg,358,420
PMC4845480,12891_2016_1050_Fig4_HTML.jpg,472,178
PMC4845480,12891_2016_1050_Fig6_HTML.jpg,473,335
PMC4845480,12891_2016_1050_Fig7_HTML.jpg,359,271
PMC4845480,12891_2016_1050_Fig3_HTML.jpg,568,190
PMC4845480,12891_2016_1050_Fig1_HTML.jpg,473,274
PMC4862189,12957_2016_899_Fig3_HTML.jpg,566,507
PMC4862189,12957_2016_899_Fig2_HTML.jpg,472,254
PMC4862189,12957_2016_899_Fig4_HTML.jpg,472,199
PMC4862189,12957_2016_899_Fig1_HTML.jpg,567,609
PMC4860914,JOMFP-20-129-g001.jpg,605,209
PMC4860914,JOMFP-20-129-g003.jpg,539,429
PMC4860914,JOMFP-20-129-g004.jpg,788,946
PMC4860914,JOMFP-20-129-g002.jpg,539,388
PMC4908608,gr1.jpg,666,1009
PMC4878936,gr6.jpg,735,275
PMC4878936,gr2.jpg,772,692
PMC4878936,gr4.jpg,648,542
PMC4878936,gr3.jpg,774,510
PMC4878936,gr5.jpg,546,830
PMC4878936,gr1.jpg,788,698
PMC4878936,gr7.jpg,737,242
PMC4898101,JNRP-7-346-g009.jpg,1010,133
PMC4898101,JNRP-7-346-g008.jpg,376,587
PMC4898101,JNRP-7-346-g004.jpg,1200,290
PMC4898101,JNRP-7-346-g003.jpg,605,443
PMC4898101,JNRP-7-346-g007.jpg,539,386
PMC4898101,JNRP-7-346-g002.jpg,1010,290
PMC4898101,JNRP-7-346-g001.jpg,1010,560
PMC4898101,JNRP-7-346-g005.jpg,605,443
PMC4898101,JNRP-7-346-g006.jpg,605,295
PMC4944641,UA-8-387-g002.jpg,782,587
PMC4944641,UA-8-387-g004.jpg,539,382
PMC4944641,UA-8-387-g003.jpg,694,587
PMC4944641,UA-8-387-g001.jpg,539,356
PMC4936498,gr2.jpg,714,399
PMC4936498,gr4.jpg,714,296
PMC4936498,gr3.jpg,714,551
PMC4936498,gr1.jpg,714,510
PMC4898298,gr11.jpg,696,521
PMC4898298,gr9.jpg,700,464
PMC4898298,gr8.jpg,664,498
PMC4898298,gr6.jpg,701,335
PMC4898298,gr2.jpg,661,825
PMC4898298,gr4.jpg,700,439
PMC4898298,gr3.jpg,508,396
PMC4898298,gr10.jpg,698,261
PMC4898298,gr5.jpg,701,333
PMC4898298,gr1.jpg,667,873
PMC4898298,gr7.jpg,700,335
PMC5325443,oncotarget-07-64300-g002.jpg,700,247
PMC5325443,oncotarget-07-64300-g001.jpg,600,600
PMC5325443,oncotarget-07-64300-g003.jpg,450,467
PMC5341949,oncotarget-07-72860-g001.jpg,400,644
PMC5366297,jvs-18-115-g001.jpg,654,827
PMC5366297,jvs-18-115-g002.jpg,654,1032
PMC5107239,CRIU2016-9317567.001.jpg,725,420
PMC5107239,CRIU2016-9317567.002.jpg,754,644
PMC5121163,gr2.jpg,791,357
PMC5121163,gr4.jpg,791,479
PMC5121163,gr3.jpg,777,456
